question,answer
What is the capital of France?,Paris is the capital of France.
Who developed the theory of relativity?,The theory of relativity was developed by Albert Einstein.
What is the speed of light?,"The speed of light is 299,792,458 meters per second."
What is the tallest mountain in the world?,Mount Everest is the tallest mountain in the world.
Who is the author of '1984'?,The author of '1984' is George Orwell.
What is the capital of Japan?,Tokyo is the capital of Japan.
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.
What is the chemical symbol for water?,The chemical symbol for water is H2O.
What is the largest ocean on Earth?,The largest ocean on Earth is the Pacific Ocean.
