question,answer
What is the capital of France?,Paris.
Who developed the theory of relativity?,Albert Einstein.
What is the speed of light?,"299,792,458 meters per second."
What is the tallest mountain in the world?,Mount Everest.
Who is the author of '1984'?,George Orwell.
What is the capital of Japan?,Tokyo.
Who painted the Mona Lisa?,Leonardo da Vinci.
What is the largest planet in our solar system?,Jupiter.
What is the chemical symbol for water?,H2O.
What is the largest ocean on Earth?,The Pacific Ocean.
