answer,context
Paris.,France is a country in Europe. Its capital is Paris.
Albert Einstein.,The theory of relativity was developed by Albert Einstein.
"299,792,458 meters per second.","Light travels at a constant speed in a vacuum, which is 299,792,458 meters per second."
Mount Everest.,The tallest mountain in the world is Mount Everest.
George Orwell.,The author of '1984' is George Orwell.
Tokyo.,Japan's capital is Tokyo.
Leonardo da Vinci.,The Mona Lisa was painted by Leonardo da Vinci.
Jupiter.,The largest planet in our solar system is Jupiter.
H2O.,The chemical symbol for water is H2O.
The Pacific Ocean.,The largest ocean on Earth is the Pacific Ocean.
